index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,Odsonne Édouard,22.0,fr FRA,FW,24-201,57,0,0,0,0,3,1,0,0,20,0,0,0,0.2,0.2,0.0,1,0,3,6,50.0,0,12,2,2,1,,,,,,,,,,,,,,,,,,,,,1,0
1,Jean-Philippe Mateta,14.0,fr FRA,FW,25-038,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.2,0,0,8,10,80.0,0,8,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
2,Wilfried Zaha,11.0,ci CIV,LW,29-268,90,0,0,0,0,1,0,0,0,50,3,0,0,0.1,0.1,0.6,3,0,30,39,76.9,2,44,7,5,3,,,,,,,,,,,,,,,,,,,,,1,0
3,Jordan Ayew,9.0,gh GHA,"RW,AM",30-328,90,0,0,0,0,1,0,0,0,43,2,0,0,0.1,0.1,0.1,7,0,27,34,79.4,0,34,5,9,6,,,,,,,,,,,,,,,,,,,,,1,0
4,Eberechi Eze,10.0,eng ENG,AM,24-037,85,0,0,0,0,1,1,0,0,55,1,0,1,0.5,0.5,0.0,1,0,32,41,78.0,0,34,1,4,1,,,,,,,,,,,,,,,,,,,,,1,0
5,Malcolm Ebiowei,23.0,eng ENG,RW,18-335,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,1,3,1,,,,,,,,,,,,,,,,,,,,,1,0
6,Jeffrey Schlupp,15.0,gh GHA,DM,29-225,85,0,0,0,0,3,0,0,0,53,4,1,2,0.2,0.2,0.0,1,0,30,35,85.7,2,36,1,4,3,,,,,,,,,,,,,,,,,,,,,1,0
7,Will Hughes,19.0,eng ENG,DM,27-110,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
8,Cheick Doucouré,28.0,ml MLI,DM,22-209,74,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,32,34,94.1,6,25,2,0,0,,,,,,,,,,,,,,,,,,,,,1,0
9,Luka Milivojević,4.0,rs SRB,DM,31-120,16,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,3,12,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
10,Tyrick Mitchell,3.0,eng ENG,LB,22-338,90,0,0,0,0,0,0,0,0,76,1,2,2,0.0,0.0,0.0,0,0,50,66,75.8,4,49,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0
11,Marc Guéhi,6.0,eng ENG,CB,22-023,90,0,0,0,0,0,0,0,0,114,0,1,4,0.0,0.0,0.0,0,0,93,105,88.6,6,94,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
12,Joachim Andersen,16.0,dk DEN,CB,26-066,90,0,0,0,0,0,0,0,0,123,6,2,0,0.0,0.0,0.1,2,0,93,107,86.9,2,89,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
13,Nathaniel Clyne,17.0,eng ENG,RB,31-122,90,0,0,0,0,0,0,1,0,73,0,1,0,0.0,0.0,0.1,2,0,59,68,86.8,8,48,0,1,1,,,,,,,,,,,,,,,,,,,,,1,0
14,Vicente Guaita,13.0,es ESP,GK,35-207,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,37,39,94.9,0,31,0,0,0,2.0,2.0,1.0,0.0,0.3,7.0,9.0,77.8,35.0,2.0,22.9,25.7,4.0,25.0,29.5,9.0,1.0,11.1,2.0,15.4,1,0
0,Gabriel Jesus,9.0,br BRA,FW,25-124,82,0,0,0,0,1,0,0,0,38,1,1,0,0.1,0.1,0.0,4,0,20,28,71.4,3,24,3,6,6,,,,,,,,,,,,,,,,,,,,,0,0
1,Eddie Nketiah,14.0,eng ENG,FW,23-067,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,2,0,3,3,100.0,1,3,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0
